"school","city","state","region","conference","division"
"Cornell University","Ithaca","New York","North East","Ivy League","NCAA D1"
"Cornerstone University","Grand Rapids","Michigan","Great Lakes","Wolverine-Hoosier Athletic Conference","NAIA"
"Corning Community College","Corning","New York","North East","Mid-State Athletic Conference","JC"
"County College of Morris","Randolph","New Jersey","North East","Garden State Athletic Conference","JC"
"Covenant College","Lookout Mountain","Georgia","South East","USA South Athletic Conference","NCAA D3"
"Cowley County Community College","Arkansas City","Kansas","Mid West","Kansas Jayhawk Community College Conference","JC"
"Creighton University","Omaha","Nebraska","Mid West","Big East Conference","NCAA D1"
"Crowley's Ridge College","Paragould","Arkansas","Mid South","Continental Athletic Conference","NAIA"
"Crown College","Saint Bonifacius","Minnesota","Mid West","Upper Midwest Athletic Conference","NCAA D3"
"Culinary Institute of America","Hyde Park","New York","North East","Hudson Valley Men's Athletic Conference, Hudson Valley Women's Athletic Conference","NCAA D3"
"Culver-Stockton College","Canton","Missouri","Mid West","Heart of America Athletic Conference","NAIA"
"Cumberland University","Lebanon","Tennessee","Mid East","Mid-South Conference","NAIA"
"Curry College","Milton","Massachusetts","New England","Commonwealth Coast Conference","NCAA D3"
"Cuyahoga Community College","Cleveland","Ohio","Great Lakes","Ohio Community College Athletic Conference","JC"
"Cuyamaca College","El Cajon","California","West Coast","Pacific Coast Conference","JC"
"Cypress College","Cypress","California","West Coast","Orange Empire Conference","JC"
"D'Youville College","Buffalo","New York","North East","East Coast Conference","NCAA D2"
"Daemen College","Amherst","New York","North East","East Coast Conference","NCAA D2"
"Dakota College at Bottineau","Bottineau","North Dakota","North West","Mon-Dak Athletic Conference","JC"
"Dakota State University","Madison","South Dakota","North West","North Star Athletic Association","NAIA"
"Dakota Wesleyan University","Mitchell","South Dakota","North West","Great Plains Athletic Conference","NAIA"
"Dallas Baptist University","Dallas","Texas","Mid South","Lonestar Conference","NCAA D2"
"Danville Area Community College","Danville","Illinois","Great Lakes","Collegiate Conference of Central Illinois","JC"
"Dartmouth College","Hanover","New Hampshire","New England","Ivy League","NCAA D1"
"Davenport University","Grand Rapids","Michigan","Great Lakes","Great Lakes Intercollegiate Athletic Conference","NCAA D2"
"Davidson College","Davidson","North Carolina","Mid East","Atlantic 10 Conference","NCAA D1"
"Davis & Elkins College","Elkins","West Virginia","Mid East","Great Midwest Athletic Conference","NCAA D2"
"Dawson Community College","Glendive","Montana","North West","Mon-Dak Athletic Conference","JC"
"Daytona State College","Daytona Beach","Florida","South East","Florida College System Activities Association","JC"
"Dean College","Franklin","Massachusetts","New England","Eastern Collegiate Football Conference","NCAA D3"
"Defiance College","Defiance","Ohio","Great Lakes","Heartland Collegiate Athletic Conference","NCAA D3"
"Delaware County Community College","Media","Pennsylvania","North East","Eastern Pennsylvania Athletic Conference","JC"
"Delaware State University","Dover","Delaware","North East","Mid-Eastern Athletic Conference","NCAA D1"
"Delaware Technical & Community College — Stanton Campus","Newark","Delaware","North East","Eastern Pennsylvania Athletic Conference","JC"
"Delaware Technical Community College","Dover","Delaware","North East","Eastern Pennsylvania Athletic Conference","JC"
"Delaware Valley University","Doylestown","Pennsylvania","North East","Middle Atlantic Conferences","NCAA D3"
"Delgado Community College","New Orleans","Louisiana","Mid South","NJCAA Region 23","JC"
"Delta College – Michigan","University Center","Michigan","Great Lakes","Michigan Community College Athletic Association","JC"
"Delta State University","Cleveland","Mississippi","Mid South","Gulf South Conference","NCAA D2"
"Denison University","Granville","Ohio","Great Lakes","North Coast Athletic Conference","NCAA D3"
"DePaul University","Chicago","Illinois","Great Lakes","Big East Conference","NCAA D1"
"DePauw University","Greencastle","Indiana","Great Lakes","North Coast Athletic Conference","NCAA D3"
"Des Moines Area Community College","Ankeny","Iowa","Mid West","Iowa Community College Athletic Conference","JC"
"DeSales University","Center Valley","Pennsylvania","North East","Middle Atlantic Conferences","NCAA D3"
"Dickinson College","Carlisle","Pennsylvania","North East","Centennial Conference","NCAA D3"
"Dickinson State University","Dickinson","North Dakota","North West","North Star Athletic Association","NAIA"
"Dillard University","New Orleans","Louisiana","Mid South","Gulf Coast Athletic Conference","NAIA"
"Dixie State University","Saint George","Utah","South West","Western Athletic Conference","NCAA D1"
"Doane University","Crete","Nebraska","Mid West","Great Plains Athletic Conference","NAIA"
"Dominican College","Orangeburg","New York","North East","Central Atlantic Collegiate Conference","NCAA D2"
"Dominican University – Illinois","River Forest","Illinois","Great Lakes","Northern Athletics Collegiate Conference","NCAA D3"
"Dominican University of California","San Rafael","California","West Coast","Pacific West Conference","NCAA D2"
"Dordt University","Sioux Center","Iowa","Mid West","Great Plains Athletic Conference","NAIA"
"Drake University","Des Moines","Iowa","Mid West","Missouri Valley Conference ","NCAA D1"
"Drew University","Madison","New Jersey","North East","Landmark Conference","NCAA D3"
"Drexel University","Philadelphia","Pennsylvania","North East","Colonial Athletic Association","NCAA D1"
"Drury University","Springfield","Missouri","Mid West","Great Lakes Valley Conference","NCAA D2"
"Duke University","Durham","North Carolina","Mid East","Atlantic Coast Conference","NCAA D1"
"Duquesne University","Pittsburgh","Pennsylvania","North East","Northeast Conference","NCAA D1"
"Dyersburg State Community College","Dyersburg","Tennessee","Mid East","Tennessee Community College Athletic Association","JC"
"Earlham College","Richmond","Indiana","Great Lakes","Heartland Collegiate Athletic Conference","NCAA D3"
"East Carolina University","Greenville","North Carolina","Mid East","American Athletic Conference","NCAA D1"
"East Central Community College","Decatur","Mississippi","Mid South","Mississippi Association of Community Colleges Conference","JC"
"East Central University","Ada","Oklahoma","Mid South","Great American Conference","NCAA D2"
"East Georgia State College","Swainsboro","Georgia","South East","Georgia Collegiate Athletic Association","JC"
"East Los Angeles College","Monterey Park","California","West Coast","SCAA","JC"
"East Stroudsburg University of Pennsylvania","East Stroudsburg","Pennsylvania","North East","Pennsylvania State Athletic Conference","NCAA D2"
"East Tennessee State University","Johnson City","Tennessee","Mid East","Southern Conference","NCAA D1"
"East Texas Baptist University","Marshall","Texas","Mid South","American Southwest Conference","NCAA D3"
"Eastern Connecticut State University","Willimantic","Connecticut","New England","Little East Conference","NCAA D3"
"Eastern Florida State College","Cocoa","Florida","South East","Florida College System Activities Association","JC"
"Eastern Illinois University","Charleston","Illinois","Great Lakes","Ohio Valley Conference","NCAA D1"
"Eastern Kentucky University","Richmond","Kentucky","Mid East","ASUN Conference","NCAA D1"
"Eastern Mennonite University","Harrisonburg","Virginia","Mid East","Old Dominion Athletic Conference","NCAA D3"
"Eastern Michigan University","Ypsilanti","Michigan","Great Lakes","Mid-American Conference","NCAA D1"
"Eastern Nazarene College","Quincy","Massachusetts","New England","Commonwealth Coast Conference","NCAA D3"
"Eastern New Mexico University","Portales","New Mexico","South West","Lone Star Conference","NCAA D2"
"Eastern Oklahoma State College","Wilburton","Oklahoma","Mid South","Bi-State East Conference","JC"
"Eastern Oregon University","La Grande","Oregon","West Coast","Cascade Collegiate Conference","NAIA"
"Eastern University","Saint Davids","Pennsylvania","North East","Middle Atlantic Conferences","NCAA D3"
"Eastern Washington University","Cheney","Washington","West Coast","Big Sky Conference","NCAA D1"
"Eastfield College","Mesquite","Texas","Mid South","Metro Athletic Conference","JC"
"Eckerd College","St. Petersburg","Florida","South East","Sunshine State Conference","NCAA D2"
"Edgewood College","Madison","Wisconsin","Great Lakes","Northern Athletics Collegiate Conference","NCAA D3"
"Edinboro University","Edinboro","Pennsylvania","North East","Pennsylvania State Athletic Conference","NCAA D2"
"Edison State Community College","Piqua","Ohio","Great Lakes","Ohio Community College Athletic Association","JC"
"Edmonds College","Lynnwood","Washington","West Coast","Northwest Athletic Conference","JC"
"Edward Waters University","Jacksonville","Florida","South East","Southern Intercollegiate Athletic Conference","NCAA D2"
"El Camino College","Torrance","California","West Coast","South Coast Conference","JC"
"Elgin Community College","Elgin","Illinois","Great Lakes","Illinois Skyway Collegiate Conference","JC"
"Elizabeth City State University","Elizabeth City","North Carolina","Mid East","Central Intercollegiate Athletic Association","NCAA D2"
"Elizabethtown College","Elizabethtown","Pennsylvania","North East","Landmark Conference","NCAA D3"
"Ellsworth Community College","Iowa Falls","Iowa","Mid West","Iowa Community College Athletic Conference","JC"
"Elmhurst University","Elmhurst","Illinois","Great Lakes","College Conference of Illinois and Wisconsin","NCAA D3"
"Elmira College","Elmira","New York","North East","Empire 8 Athletic Conference","NCAA D3"
"Elms College","Chicopee","Massachusetts","New England","New England Collegiate Conference","NCAA D3"
"Elon University","Elon","North Carolina","Mid East","Colonial Athletic Association","NCAA D1"
"Embry-Riddle Aeronautical University","Daytona Beach","Florida","South East","NCAA DII, Sunshine State Conference","NCAA D2"
"Embry-Riddle Aeronautical University (Arizona Campus)","Prescott","Arizona","South West","California Pacific Conference","NAIA"
"Emerson College","Boston","Massachusetts","New England","New England Women's & Men's Athletic Conference","NCAA D3"
"Emmanuel College – Georgia","Franklin Springs","Georgia","South East","Conference Carolinas","NCAA D2"
"Emmanuel College – Massachusetts","Boston","Massachusetts","New England","Great Northeast Athletic Conference","NCAA D3"
"Emory & Henry College","Emory","Virginia","Mid East","Old Dominion Athletic Conference","NCAA D2"
"Emory University","Atlanta","Georgia","South East","University Athletic Association","NCAA D3"
"Emporia State University","Emporia","Kansas","Mid West","Mid-America Intercollegiate Athletics Association","NCAA D2"
"Endicott College","Beverly","Massachusetts","New England","Commonwealth Coast Football","NCAA D3"
